case,timestamp,source,info
7,03-04-24 15:02:34.34,s2,StartFilling
7,03-04-24 15:02:34.34,s1,StartFilling
7,03-04-24 15:02:37.37,s2,FillingCompleted
7,03-04-24 15:02:37.37,s1,FillingCompleted
7,03-04-24 15:02:37.37,s2,StartHeating
7,03-04-24 15:02:37.37,lgpA,StartTransfer
7,03-04-24 15:02:40.40,s2,HeatingCompleted
7,03-04-24 15:02:40.40,s1,PouringCompleted
7,03-04-24 15:02:40.40,lgpB,StartTransfer
7,03-04-24 15:02:40.40,s4,FillingCompleted
7,03-04-24 15:02:40.40,lgpA,TransferCompleted
7,03-04-24 15:02:40.40,s1,StartFilling
7,03-04-24 15:02:40.40,s4,StartMixing
7,03-04-24 15:02:43.43,s4,MixingCompleted
7,03-04-24 15:02:43.43,s4,StartHeating
7,03-04-24 15:02:43.43,s1,FillingCompleted
7,03-04-24 15:02:43.43,s2,PouringCompleted
7,03-04-24 15:02:43.43,s3,FillingCompleted
7,03-04-24 15:02:43.43,lgpB,TransferCompleted
7,03-04-24 15:02:43.43,s2,StartFilling
7,03-04-24 15:02:46.46,s3,StartMixing
7,03-04-24 15:02:46.46,s4,HeatingCompleted
7,03-04-24 15:02:46.46,s4,PouringStarted
7,03-04-24 15:02:46.46,s2,FillingCompleted
7,03-04-24 15:02:46.46,s2,StartHeating
7,03-04-24 15:02:49.49,s3,MixingCompleted
7,03-04-24 15:02:49.49,s3,PouringStarted
7,03-04-24 15:02:49.49,s4,PouringCompleted
7,03-04-24 15:02:49.49,lgpA,StartTransfer
7,03-04-24 15:02:49.49,s2,HeatingCompleted
7,03-04-24 15:02:52.52,s3,PouringCompleted
7,03-04-24 15:02:52.52,s1,PouringCompleted
7,03-04-24 15:02:52.52,s4,FillingCompleted
7,03-04-24 15:02:52.52,lgpB,StartTransfer
7,03-04-24 15:02:52.52,lgpA,TransferCompleted
7,03-04-24 15:02:52.52,s4,StartHeating
7,03-04-24 15:02:55.55,s4,HeatingCompleted
7,03-04-24 15:02:55.55,s4,StartMixing
7,03-04-24 15:02:55.55,s2,PouringCompleted
7,03-04-24 15:02:55.55,s3,FillingCompleted
7,03-04-24 15:02:55.55,lgpB,TransferCompleted
7,03-04-24 15:02:58.58,s4,MixingCompleted
7,03-04-24 15:02:58.58,s3,StartMixing
7,03-04-24 15:02:58.58,s4,PouringStarted
7,03-04-24 15:03:01.1,s3,MixingCompleted
7,03-04-24 15:03:01.1,s3,PouringStarted
7,03-04-24 15:03:01.1,s4,PouringCompleted
7,03-04-24 15:03:04.4,s3,PouringCompleted
