case,timestamp,source,info
1,03-04-24 14:46:40.40,s1,StartFilling
1,03-04-24 14:46:40.40,s2,StartFilling
1,03-04-24 14:46:46.46,s2,FillingCompleted
1,03-04-24 14:46:46.46,s1,FillingCompleted
1,03-04-24 14:46:46.46,s2,StartHeating
1,03-04-24 14:46:46.46,lgpA,StartTransfer
1,03-04-24 14:46:50.50,s2,HeatingCompleted
1,03-04-24 14:47:02.2,s1,PouringCompleted
1,03-04-24 14:47:02.2,lgpB,StartTransfer
1,03-04-24 14:47:02.2,s4,FillingCompleted
1,03-04-24 14:47:02.2,lgpA,TransferCompleted
1,03-04-24 14:47:02.2,s1,StartFilling
1,03-04-24 14:47:02.2,s4,StartHeating
1,03-04-24 14:47:06.6,s4,HeatingCompleted
1,03-04-24 14:47:06.6,s4,StartMixing
1,03-04-24 14:47:08.8,s1,FillingCompleted
1,03-04-24 14:47:08.8,s2,PouringCompleted
1,03-04-24 14:47:08.8,s3,FillingCompleted
1,03-04-24 14:47:08.8,lgpB,TransferCompleted
1,03-04-24 14:47:08.8,s2,StartFilling
1,03-04-24 14:47:10.10,s4,MixingCompleted
1,03-04-24 14:47:10.10,s3,StartMixing
1,03-04-24 14:47:10.10,s4,PouringStarted
1,03-04-24 14:47:14.14,s3,MixingCompleted
1,03-04-24 14:47:14.14,s3,PouringStarted
1,03-04-24 14:47:14.14,s2,FillingCompleted
1,03-04-24 14:47:14.14,s2,StartHeating
1,03-04-24 14:47:16.16,s4,PouringCompleted
1,03-04-24 14:47:16.16,lgpA,StartTransfer
1,03-04-24 14:47:18.18,s2,HeatingCompleted
1,03-04-24 14:47:19.19,s3,PouringCompleted
1,03-04-24 14:47:31.31,s1,PouringCompleted
1,03-04-24 14:47:31.31,lgpB,StartTransfer
1,03-04-24 14:47:31.31,s4,FillingCompleted
1,03-04-24 14:47:31.31,lgpA,TransferCompleted
1,03-04-24 14:47:31.31,s4,StartHeating
1,03-04-24 14:47:35.35,s4,HeatingCompleted
1,03-04-24 14:47:35.35,s4,StartMixing
1,03-04-24 14:47:37.37,s2,PouringCompleted
1,03-04-24 14:47:37.37,s3,FillingCompleted
1,03-04-24 14:47:37.37,lgpB,TransferCompleted
1,03-04-24 14:47:39.39,s4,MixingCompleted
1,03-04-24 14:47:39.39,s3,StartMixing
1,03-04-24 14:47:39.39,s4,PouringStarted
1,03-04-24 14:47:43.43,s3,MixingCompleted
1,03-04-24 14:47:43.43,s3,PouringStarted
1,03-04-24 14:47:44.44,s4,PouringCompleted
1,03-04-24 14:47:49.49,s3,PouringCompleted
2,03-04-24 14:53:52.52,s2,StartFilling
